15.03.2014 16:47:07;TEXT;TestUser;testSettlementBreed
15.03.2014 16:47:07;HAPPINESS;CraftManager;CYCLE;1;0.07619047619047618;0.0;0.07619047619047618;0.0;0
15.03.2014 16:47:07;SETTLER;CraftManager;CYCLE;1;6;1;0;0
15.03.2014 16:47:07;PRODUCTION;CraftManager;WOODCUTTER;1;43;LOG;0;1
15.03.2014 16:47:07;SALE;CraftManager;WOODCUTTER;1;43;0.0;1
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;SOIL;0;1
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.0;1
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;WHEAT;4;1
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.6;1
15.03.2014 16:47:07;PRODUCTION;CraftManager;QUARRY;1;41;COBBLESTONE;0;1
15.03.2014 16:47:07;SALE;CraftManager;QUARRY;1;41;0.0;1
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;SOIL;0;1
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.0;1
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;WHEAT;4;1
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.6;1
15.03.2014 16:47:07;HAPPINESS;CraftManager;CYCLE;1;0.1476190476190476;0.0;0.1476190476190476;0.0;1
15.03.2014 16:47:07;SETTLER;CraftManager;CYCLE;1;6;0;0;1
15.03.2014 16:47:07;PRODUCTION;CraftManager;WOODCUTTER;1;43;LOG;0;2
15.03.2014 16:47:07;SALE;CraftManager;WOODCUTTER;1;43;0.0;2
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;SOIL;0;2
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.0;2
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;WHEAT;4;2
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.6;2
15.03.2014 16:47:07;PRODUCTION;CraftManager;QUARRY;1;41;COBBLESTONE;0;2
15.03.2014 16:47:07;SALE;CraftManager;QUARRY;1;41;0.0;2
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;SOIL;0;2
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.0;2
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;WHEAT;4;2
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.6;2
15.03.2014 16:47:07;HAPPINESS;CraftManager;CYCLE;1;0.21904761904761902;0.0;0.21904761904761902;0.0;2
15.03.2014 16:47:07;SETTLER;CraftManager;CYCLE;1;6;0;0;2
15.03.2014 16:47:07;PRODUCTION;CraftManager;WOODCUTTER;1;43;LOG;0;3
15.03.2014 16:47:07;SALE;CraftManager;WOODCUTTER;1;43;0.0;3
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;SOIL;0;3
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.0;3
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;WHEAT;4;3
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.6;3
15.03.2014 16:47:07;PRODUCTION;CraftManager;QUARRY;1;41;COBBLESTONE;0;3
15.03.2014 16:47:07;SALE;CraftManager;QUARRY;1;41;0.0;3
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;SOIL;0;3
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.0;3
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;WHEAT;4;3
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.6;3
15.03.2014 16:47:07;HAPPINESS;CraftManager;CYCLE;1;0.29047619047619044;0.0;0.29047619047619044;0.0;3
15.03.2014 16:47:07;SETTLER;CraftManager;CYCLE;1;6;0;0;3
15.03.2014 16:47:07;PRODUCTION;CraftManager;WOODCUTTER;1;43;LOG;0;4
15.03.2014 16:47:07;SALE;CraftManager;WOODCUTTER;1;43;0.0;4
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;SOIL;0;4
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.0;4
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;42;WHEAT;4;4
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;42;0.6;4
15.03.2014 16:47:07;PRODUCTION;CraftManager;QUARRY;1;41;COBBLESTONE;0;4
15.03.2014 16:47:07;SALE;CraftManager;QUARRY;1;41;0.0;4
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;SOIL;0;4
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.0;4
15.03.2014 16:47:07;PRODUCTION;CraftManager;WHEAT;1;36;WHEAT;4;4
15.03.2014 16:47:07;SALE;CraftManager;WHEAT;1;36;0.6;4
15.03.2014 16:47:07;HAPPINESS;CraftManager;CYCLE;1;0.36190476190476184;0.0;0.36190476190476184;0.0;4
15.03.2014 16:47:07;SETTLER;CraftManager;CYCLE;1;6;0;0;4
15.03.2014 16:47:07;PRODUCTION;CraftManager;WOODCUTTER;1;43;LOG;0;5
